feature_1,feature_2,feature_3,feature_4,cluster_id
0.05979350835173036,0.08499796053022535,0.2287451783619867,0.6993424833061528,1
0.18802980859678753,0.1697529874339226,0.12964099131488027,0.747388870812931,1
0.3330152072925604,0.7228059547973114,0.7658220473372231,0.52173152391221,0
0.36997176901648055,0.864379422702072,0.7832469466711564,0.42776219261398507,0
0.181384321814332,0.09448501261196685,0.09704977261431835,0.7968051367904965,1
0.31293780436638463,0.8161960188631594,0.8620070192296718,0.5314465249305935,0
0.8259684475906222,0.138075879133719,0.3350365119176712,0.09567317549143983,3
0.06807164892014311,0.14158998001433448,0.20028709208500595,0.7476935476395066,1
0.566043400962721,0.6792911116306923,0.06768558915538214,0.8594196630466286,2
0.5760816132138209,0.6133187855194427,0.26241437009201113,0.7724814905033093,2
0.28304034933582745,0.8112748041784872,0.8281579735855604,0.45116247073564825,0
0.42910071418171,0.8706863784126775,0.8483648519676186,0.4581774371716603,0
0.466607930187332,0.8754485457791585,0.769063066790224,0.46552487120097996,0
0.9024164705397526,0.25012878380388376,0.4510548000241157,0.061610602600608744,3
0.5342992959822869,0.6252757465863517,0.19196015097578029,0.7995211634863137,2
0.8889928913051092,0.19865914085879685,0.2926290231449161,0.0857353625950315,3
0.16280734188540985,0.15002616502138677,0.07800293089700794,0.7045005256191105,1
0.389975587271139,0.8902946623273491,0.7969089111909957,0.518373382580567,0
0.7998328898901836,0.1463278809861953,0.3419123048474049,0.050400009281492186,3
0.4170840242858928,0.8410877600552775,0.8623253930117989,0.4687924202492728,0
0.37340959275412366,0.774598823886794,0.8917772539997215,0.47904229648232594,0
0.12684938079036268,0.14051829228072965,0.19462927239197214,0.758144003175689,1
0.24845162000871315,0.9047723937109011,0.8559679327235675,0.4830247935206948,0
0.36050081844768056,0.7918148636503779,0.9218655732479877,0.5117286752881233,0
0.04892454251030948,0.10900050853191035,0.243829383302831,0.7674018038342754,1
0.551720333525184,0.5740270197897342,0.17244938924500702,0.8139434908033383,2
0.13263756245452757,0.15130019196048033,0.16491641118893968,0.7509766962741848,1
0.6050074501974767,0.5606960842208688,0.14757412583888935,0.8156851284078022,2
0.6808630590418231,0.1611210301226184,0.240591193744303,0.03867986429575904,3
0.49425514849357616,0.6429042973278326,0.09888119248521399,0.7689726801829345,2
0.5800499842340848,0.6813328311021032,0.05038901044907573,0.78528261224035,2
0.7747669509669767,0.11244884669269606,0.2556164637953825,0.16617063457768244,3
0.5969177601316322,0.6839453697834215,0.06855945640379513,0.7564249614222389,2
0.8929762680896642,0.14997024960993094,0.2950209608441016,0.11465810114463482,3
0.8524926196756506,0.18346253501128554,0.2888603248903685,0.05836822391574653,3
0.6144386624563763,0.6499361556162682,0.1537814829984966,0.8983142298636593,2
0.6205126608654132,0.5565570827600923,0.1552009506637504,0.7528222622161573,2
0.2609603348181379,0.7733417948083486,0.813989923618616,0.4885704633379775,0
0.5349701956223152,0.6548519846396212,0.1394211066470048,0.8476804936004985,2
